"","V1","V2","V3"
"1",-0.1,7.2696,0.58
"2",-0.2,7.2937,1.26
"3",0,7.1747,-1.23
"4",-0.3,6.9479,-0.06
"5",0.2,6.8459,-1.22
"6",0.3,6.7719,-0.79
"7",0.2,6.8134,-0.94
"8",0.1,6.8363,-0.1
"9",0.3,6.8211,0.26
"10",0.1,6.9324,-0.49
"11",0.2,6.8046,-0.3
"12",0.3,7.0423,0.19
"13",0.3,7.0673,-0.6
"14",0.4,7.224,-0.51
"15",0,7.1724,-0.25
"16",-0.4,7.369,-0.27
"17",0,7.4378,-0.17
"18",-0.1,7.3815,0.26
"19",-0.1,7.2944,0.03
"20",-0.1,7.4821,-0.17
"21",0,7.4576,0.35
"22",-0.7,7.4872,0.39
"23",0.1,7.5549,0.19
"24",-0.3,7.4442,-0.11
"25",-0.4,7.4472,0.03
"26",-0.3,7.4872,-0.14
"27",-0.2,7.4313,0.13
"28",-0.3,7.548,0.09
"29",-0.2,7.7231,0.03
"30",0,7.4164,0.32
"31",-0.1,7.5235,0.38
"32",-0.3,7.481,0.03
"33",-0.2,7.5191,0.74
"34",0.3,7.457,0.17
"35",0,7.369,0.41
"36",-0.2,7.4372,-0.34
"37",-0.2,7.4319,-0.56
"38",0.1,7.3852,-1.05
"39",0,7.4448,-0.03
"40",-0.1,7.3976,0.15
"41",0,7.4955,0.08
"42",0.1,7.5071,-0.31
"43",-0.1,7.4265,-0.3
"44",0.2,7.4242,-0.44
"45",0,7.4289,0.35
"46",-0.3,7.4634,0.02
"47",0,7.4242,0.02
"48",0,7.5143,0.07
"49",-0.1,7.4372,0.06
"50",0,7.5715,0.22
"51",-0.3,7.5868,-0.13
"52",0.5,7.5219,-0.28
"53",0,7.5369,-0.38
"54",-0.1,7.5668,-0.49
"55",0.1,7.5251,-0.14
"56",0,7.5213,0.07
"57",-0.2,7.4855,-0.36
"58",-0.1,7.4994,-0.39
"59",0.1,7.4307,-0.28
"60",0,7.4271,-0.04
"61",-0.1,7.392,0.19
"62",-0.3,7.5137,0.87
"63",0,7.481,-0.48
"64",0,7.4866,-0.33
"65",0,7.4536,0.03
"66",-0.3,7.3865,0.24
"67",0,7.3951,0.48
"68",-0.1,7.374,-0.12
"69",-0.1,7.362,-0.15
"70",-0.1,7.3809,0.15
"71",-0.1,7.4354,0.49
"72",0.1,7.3232,0.07
"73",-0.2,7.4122,-0.6
"74",-0.1,7.2442,0.08
"75",0,7.1476,0.06
"76",0,7.2951,-0.25
"77",0,7.3343,0
"78",-0.3,7.3607,0.29
"79",0.2,7.2591,0.22
"80",-0.2,7.2984,0.42
"81",0,7.291,0.24
"82",0.2,7.3085,0.26
"83",-0.2,7.3079,0.18
"84",0,7.3278,0.11
"85",-0.1,7.3582,0.05
"86",0,7.3544,0.41
"87",0.1,7.3908,0.36
"88",-0.2,7.2619,0.24
"89",-0.2,7.2598,0.49
"90",0.2,7.1997,-0.01
"91",0,7.1937,-0.03
