"","V1"
"1",-11.3343328963614
"2",-11.5092334334511
"3",-11.1522500614114
"4",-11.3377933832716
"5",-11.3669500183055
"6",-11.210254062848
"7",-11.1893750301215
"8",-11.1887770205323
"9",-11.040432762603
"10",-11.0150582625549
"11",-11.0917809453553
"12",-10.9219427538609
"13",-10.5753446970332
"14",-10.826408330384
"15",-10.7210582652752
"16",-10.4982849859541
"17",-10.5844546200355
"18",-10.5237560766052
"19",-10.3251121947677
"20",-10.5300967487742
"21",-10.6674724791799
"22",-10.5352138152444
"23",-10.5436002914336
"24",-10.5734178506006
"25",-10.6028830959135
"26",-10.5302966309647
"27",-10.6441927222937
"28",-10.7860204362049
"29",-10.5605613036294
"30",-10.7126541897114
"31",-10.7185085664851
"32",-10.776221293426
"33",-10.662540377163
"34",-10.7919347096491
"35",-10.7841552113065
"36",-10.8650645164764
"37",-10.4677312168337
"38",-10.5768242425531
"39",-10.6266682259331
"40",-10.7690839185145
"41",-10.7121927189005
"42",-10.5906724481977
"43",-10.5872486200568
"44",-10.7366286007114
"45",-10.7913089089025
"46",-10.7978453235134
"47",-10.6996240827248
"48",-10.5879885844967
"49",-10.6972350929114
"50",-10.8049177192454
"51",-10.5993888076361
"52",-10.463934088258
"53",-10.4891040021403
"54",-10.5045116196065
"55",-10.4287656605963
"56",-10.4748661576985
"57",-10.4010405678812
"58",-10.4308125157305
"59",-10.3737469888422
"60",-10.3874140662852
"61",-10.2340421849271
"62",-10.2576021347864
"63",-10.361270978235
"64",-10.3990206921869
"65",-10.4102472181755
"66",-10.4602559810498
"67",-10.4629935146839
"68",-10.4310971698191
"69",-10.4064895150077
"70",-10.3306903317452
"71",-10.3655983191046
"72",-10.507251637977
"73",-10.3375387247018
"74",-10.1865448025044
"75",-10.3252123206138
"76",-10.2045275215865
"77",-10.2893076151613
"78",-10.3066740048692
"79",-10.3130959092025
"80",-10.3921889464052
"81",-10.2590435065299
"82",-10.0943344298881
"83",-10.288561402139
"84",-10.2758120057112
"85",-10.3723327503655
"86",-10.4722844526601
"87",-10.1970808277457
"88",-10.2081588399895
"89",-10.2988998449113
"90",-10.2663309315622
"91",-10.2775469248754
"92",-10.1886316306491
"93",-10.2683909178252
"94",-10.2336788688775
"95",-10.2025871026338
"96",-10.0866487763368
"97",-10.148784061751
"98",-10.1879059775495
"99",-10.2780665620793
"100",-10.5204532725687
"101",-10.3649248088783
"102",-10.3436665138112
"103",-10.3593616265599
"104",-10.4457867968481
"105",-10.3266118166773
"106",-10.2266105478764
"107",-10.1880236341354
"108",-10.1977607726555
"109",-10.4302629015132
"110",-10.582152110962
"111",-10.4755131587563
"112",-10.4829624786679
"113",-10.8123373961915
"114",-10.8501970849874
"115",-10.5923275138227
"116",-10.7637660520803
"117",-10.6835180427961
"118",-10.6147419740061
"119",-10.4450255767904
"120",-10.4883568502225
"121",-10.3775243980434
"122",-10.5987410153686
"123",-10.3748849103272
"124",-10.4372629674606
"125",-10.4075777204089
"126",-10.4033620908378
"127",-10.3518998940644
"128",-10.1253845512925
"129",-10.0944181606942
"130",-10.1597842634606
"131",-10.030919318118
"132",-9.90522240434693
"133",-9.50776636471405
"134",-9.31641632474855
"135",-9.43659705426843
"136",-9.49570829042468
"137",-9.71647761510198
"138",-9.61928898330156
"139",-9.77950414802271
"140",-9.87485862065474
"141",-9.81578620515439
"142",-9.64410040901908
"143",-9.61532636807699
"144",-9.42920236076868
"145",-9.36373783955827
"146",-9.07791074080723
"147",-9.04440283391266
"148",-9.09024321577945
"149",-9.16177887401916
"150",-9.13443130963629
"151",-9.13085932357805
"152",-9.22798268430765
"153",-9.19724007761512
"154",-9.17603609095624
"155",-9.09205793390192
"156",-9.24157228942898
"157",-9.39777020896407
"158",-9.30991611760331
"159",-9.29710841556835
"160",-9.2040380245888
"161",-9.42090875971447
"162",-9.48721279559067
"163",-9.8371060127742
"164",-9.86507689320029
"165",-9.7709655212393
"166",-9.40223657723918
"167",-9.35125732012263
"168",-9.32552418011625
"169",-9.29539329091582
"170",-9.21353863026741
"171",-9.15491044270031
"172",-9.55094127609688
"173",-9.42998781111638
"174",-9.673557011694
"175",-9.78704944140923
"176",-9.3948572216939
"177",-9.41058710868058
"178",-9.00321639678009
"179",-8.91362648482053
"180",-8.79642952377116
"181",-8.33155490380964
"182",-8.0731528259172
"183",-7.87123237279805
"184",-7.73137179378137
"185",-7.67348602855283
"186",-7.59134128067338
"187",-7.70594391184616
"188",-7.58264395019831
"189",-7.55701341530968
"190",-7.53100227942841
"191",-7.36831910497768
"192",-7.23132687311233
"193",-7.08562901471663
"194",-7.1599691533
"195",-7.1816397475964
"196",-7.25193758857653
"197",-7.1735934142865
"198",-7.13769442776849
"199",-7.0496587944685
"200",-7.14628768816759
"201",-7.22507982972209
"202",-7.14092206220467
"203",-7.07451892778947
"204",-6.99975784475897
"205",-6.90653939766615
"206",-6.87716982888552
"207",-7.10447666224282
"208",-7.00108663313313
"209",-7.11999293773012
"210",-7.15538654027649
"211",-7.09863571308303
"212",-7.19150854705758
"213",-7.16439641438794
"214",-7.24692976927411
"215",-7.21580499050095
"216",-7.20797719874221
"217",-7.34061602990592
"218",-7.16235124293274
"219",-7.0959765729476
"220",-7.19806356458952
"221",-7.17963811146386
"222",-7.21475990143283
"223",-7.24671819411236
"224",-7.14073643126622
"225",-7.17789276300179
"226",-7.18755304404722
"227",-7.43483599690728
"228",-7.47870602653319
"229",-7.16396316428716
"230",-7.05344279681461
"231",-7.04912969465679
"232",-7.42921721648491
"233",-7.23926007716783
"234",-7.27332207462376
"235",-7.20673295054556
"236",-7.24310811681638
"237",-7.31747889201912
"238",-7.62874185808972
"239",-7.42949684488962
"240",-7.47480678437713
"241",-7.33057490182919
"242",-7.19010604675129
"243",-7.81182932094411
"244",-7.95595075480791
"245",-6.6087023811149
"246",-6.36097542999766
"247",-6.13001727008193
"248",-6.18533160384072
"249",-6.40585874654363
"250",-6.63541546303839
"251",-7.21686700734972
"252",-7.77644577330534
"253",-7.78892281911737
"254",-6.98928026676054
"255",-6.75514765441532
"256",-6.9192934536212
"257",-7.3809233368204
"258",-7.57328796484439
"259",-7.55814144376903
"260",-7.11556900486196
"261",-6.79839275386575
"262",-6.62753730835186
"263",-6.20515700291722
"264",-6.07516032626136
"265",-6.58353027586519
"266",-6.37902884773151
"267",-6.54761733616998
"268",-6.56722609230099
"269",-6.42872463474702
"270",-6.26485231953611
"271",-5.95038515369744
"272",-5.4718657078145
"273",-5.48922068305346
"274",-5.2859013449708
"275",-5.08568574182157
"276",-4.92587190100289
"277",-4.79028132034828
"278",-5.00846828377714
"279",-4.77097019483412
"280",-4.6511902014942
"281",-4.54514966752625
"282",-4.54883474954964
"283",-4.56634485428297
"284",-4.64908745542959
"285",-4.42107777643971
"286",-4.45788504140577
"287",-4.44207037704316
"288",-4.46882202822471
"289",-4.55051267243478
"290",-4.73088631608255
"291",-4.49966568854646
"292",-4.62333354755434
"293",-4.63735028403449
"294",-4.92546005583538
"295",-4.87333705890414
"296",-4.90774338200654
"297",-4.88236192465973
"298",-4.5791031101404
"299",-4.55555391421752
"300",-4.26187573490014
"301",-4.39776593430511
"302",-4.29004564031825
"303",-4.30920403472019
"304",-4.23700718110982
"305",-4.10116697160792
"306",-4.03241737884974
"307",-3.99032287920609
"308",-4.01734123261882
"309",-3.98481277490454
"310",-4.02158782477328
"311",-3.83933198824207
"312",-3.86175265804973
"313",-3.95292331532913
"314",-3.91404725632975
"315",-3.8575808387519
"316",-3.87737357080512
"317",-3.59527122479681
"318",-3.57404364729315
"319",-3.4928018269889
"320",-3.35941783015601
"321",-3.11720013524427
"322",-3.1196855401802
"323",-3.10358867698486
"324",-3.45012447688813
"325",-3.29443516771411
"326",-2.93841603210868
"327",-2.94631441498738
"328",-2.89488148526038
"329",-2.89387526563764
"330",-2.78504296360331
"331",-2.67076667382881
"332",-2.61314676068493
"333",-2.81592222461082
"334",-2.66924602328912
"335",-2.70236108257876
"336",-2.54058142197998
"337",-2.48938398184058
"338",-2.46402355016847
"339",-2.5762739921659
"340",-2.54279898648607
"341",-2.43993768701886
"342",-2.54144927496824
"343",-2.54241594675394
"344",-2.55295206595083
"345",-2.57546027458372
"346",-2.50102934528262
"347",-2.5166543291918
"348",-2.64529545444019
"349",-2.6766774638857
"350",-2.60054821553437
"351",-2.58056181601779
"352",-2.56597387648265
"353",-2.58168334517005
