"","Comp.1","Comp.2","Comp.3"
"1",92670.5715446297,-40120.5275723099,-9491.95545181252
"2",92958.2771997025,-40017.9972541426,-8409.24767061541
"3",92661.5446114459,-42469.7243127184,-14175.1766583202
"4",93175.9946340416,-42046.2619939867,-12580.7213029288
"5",92436.394758483,-43052.5614643866,-15319.7233754718
"6",93007.6110790228,-43311.1602544842,-15911.3188680006
"7",92985.2808405458,-43967.6487940303,-17676.4814542388
"8",93642.9894716357,-45868.5498582784,-21271.8536390905
"9",94120.5644237498,-45417.9814625313,-20194.1019030224
"10",93679.8713906363,-46622.8477164581,-23347.2210994235
"11",93618.133728936,-47123.9696101975,-24656.9321522557
"12",93479.1150299292,-46377.6957445718,-23291.3642784422
"13",92270.0270576769,-46774.3716620646,-24805.5636936334
"14",93565.7846292472,-50514.9597335011,-31701.1011356476
"15",93321.613880695,-47186.7772920168,-24654.4179853968
"16",92379.7707964952,-46993.0057587968,-25067.6330188081
"17",92948.1540316877,-45514.7877747559,-21443.2238318284
"18",93267.7119032451,-43853.0012504567,-17578.89259033
"19",92934.6244915788,-44768.1183207018,-19899.8664006878
"20",93804.4611298169,-42957.4278277257,-15449.5488624918
"21",94240.3721289037,-43778.0914041246,-17007.4389372463
"22",93981.4270882259,-42284.3001759212,-14028.5041045258
"23",94736.8266819549,-42192.5092463934,-13420.538552084
"24",94710.8419228929,-41206.2578017943,-11634.1041270731
"25",95147.1807115211,-41574.3966505162,-12012.9132509507
"26",95006.0470840424,-41366.9059617159,-11129.786695978
"27",95337.8156593845,-41091.1648256086,-10258.8789824615
"28",95056.1763130426,-40847.2039444667,-9786.2885343735
"29",96004.0635384359,-42184.1092855828,-12221.8460606747
"30",95926.7353285009,-42526.9596148755,-13156.5432466768
"31",95846.2075437447,-42257.8741157702,-12784.5697621876
"32",96881.3700331022,-42622.0804775896,-12692.8652129608
"33",96532.6281423964,-42305.1405518753,-12256.7132218334
"34",97529.8206374626,-42541.9186512766,-12372.5438752971
"35",97701.1406696255,-42317.7766064651,-11506.871108458
"36",97344.2639132992,-42716.5344767307,-13193.8460768545
"37",97912.6200814422,-42493.7545585229,-12399.4477814872
"38",98251.4359381749,-42038.1554506549,-10889.9264192825
"39",98092.862937952,-41492.038345929,-9915.71643415717
"40",99257.742728695,-42000.7313111088,-10274.072297912
"41",99640.0955785617,-41872.7714772456,-9811.16122949592
"42",99198.8801454626,-41510.1525005784,-9611.39420128275
